"battle.menu.mercy.spare"				"* Spare"
"battle.menu.mercy.flee"				"* Flee"
"battle.result.won"					"* You WON!&* You earned {insert EXP} EXP and {insert GOLD} GOLD."
"battle.result.fled.0"					"* Escaped..."
"battle.result.fled.1"					"* I'm outta here."
"battle.result.fled.2"					"* I've got better to do."
"battle.result.fled.3"					"* Don't slow me down."
"battle.result.fled.reward"				"* Ran away with {insert EXP} EXP&  and {insert GOLD} GOLD."
"battle.result.lv_up"					"* Your LOVE increased."

"battle.encounter.0"                                    "* You encountered nothing!"
"battle.encounter.1"                                    "* You encountered the Dummy."
"battle.encounter.2"                                    "* You bumped into Kiki!"

"battle.enemy.dummy.name"                               "* Dummy"
"battle.enemy.dummy.act.0"                              "* Check"
"battle.enemy.dummy.act.1"                              "* Talk"
"battle.enemy.dummy.check.0"                            "* DUMMY ATK 1 DEF 1&* Looks like it's going to fall&  over."
"battle.enemy.dummy.talk.0"                             "* You talk to the Dummy.&* It happily listens to you!"
"battle.enemy.dummy.flavor.0"                           "* Dummy sits around, not paying attention."
"battle.enemy.dummy.flavor.1"                           "* Dummy doesn't want to fight you&  anymore."
"battle.enemy.dummy.dialog.0"                           "{skippable false}{effect 1}. . ."

"battle.enemy.kiki.name"                                "* Kiki"
"battle.enemy.kiki.act.0"                               "* Check"
"battle.enemy.kiki.check.0"                             "* KIKI ATK 1 DEF 1"
"battle.enemy.kiki.flavor.0"                            "* Kiki hops excitedly."
"battle.enemy.kiki.flavor.1"                            "* Kiki is content."
"battle.enemy.kiki.flavor.2"                            "* Kiki is trembling."
"battle.enemy.kiki.dialog.0"                            "{skippable false}{effect 1}Oink."
